geoid_cbsa10,geoid_co
10020,22113
10100,46013
10100,46045
10140,53027
10180,48059
10180,48253
10180,48441
10220,40123
10300,26091
10420,39133
10420,39153
10460,35035
10500,13007
10500,13095
10500,13177
10500,13273
10500,13321
10540,41043
10580,36001
10580,36083
10580,36091
10580,36093
10580,36095
10620,37167
10660,27047
10700,01095
10740,35001
10740,35043
10740,35057
10740,35061
10760,01037
10760,01123
10780,22043
10780,22079
10820,27041
10860,48249
10880,26005
10900,34041
10900,42025
10900,42077
10900,42095
10940,26057
10980,26007
11020,42013
11060,40065
11100,48011
11100,48065
11100,48375
11100,48381
11140,13249
11140,13261
11180,19169
11220,36057
11260,02020
11260,02170
11300,18095
11340,45007
11380,48003
11420,18151
11460,26161
11500,01015
11540,55015
11540,55087
11580,12027
11620,40019
11620,40085
11660,05019
11700,37021
11700,37087
11700,37089
11700,37115
11740,39005
11780,39007
11820,41007
11860,20005
11900,39009
11940,47107
11980,48213
12020,13059
12020,13195
12020,13219
12020,13221
12060,13013
12060,13015
12060,13035
12060,13045
12060,13057
12060,13063
12060,13067
12060,13077
12060,13085
12060,13089
12060,13097
12060,13113
12060,13117
12060,13121
12060,13135
12060,13143
12060,13149
12060,13151
12060,13159
12060,13171
12060,13199
12060,13217
12060,13223
12060,13227
12060,13231
12060,13247
12060,13255
12060,13297
12100,34001
12140,18033
12180,36011
12220,01081
12260,13033
12260,13073
12260,13189
12260,13245
12260,45003
12260,45037
12300,23011
12380,27099
12420,48021
12420,48055
12420,48209
12420,48453
12420,48491
12460,13087
12540,06029
12580,24003
12580,24005
12580,24013
12580,24025
12580,24027
12580,24035
12580,24510
12620,23019
12660,55111
12700,25001
12740,50023
12780,40147
12820,22067
12860,36037
12900,05063
12940,22005
12940,22033
12940,22037
12940,22047
12940,22063
12940,22077
12940,22091
12940,22121
12940,22125
12980,26025
13020,26017
13060,48321
13100,31067
13140,48199
13140,48245
13140,48361
13180,55027
13220,54081
13260,18093
13300,48025
13340,39091
13380,53073
13420,27007
13460,41017
13500,45069
13540,50003
13620,33007
13620,50009
13660,26107
13700,48227
13740,30009
13740,30111
13780,36007
13780,36107
13820,01007
13820,01009
13820,01021
13820,01073
13820,01115
13820,01117
13820,01127
13860,06027
13900,38015
13900,38059
13940,16011
13980,51071
13980,51121
13980,51155
13980,51750
14020,18055
14020,18105
14020,18119
14060,17113
14100,42037
14100,42093
14140,51185
14140,54055
14180,05093
14220,22117
14260,16001
14260,16015
14260,16027
14260,16045
14260,16073
14300,48147
14340,19015
14380,37189
14420,48233
14460,25009
14460,25017
14460,25021
14460,25023
14460,25025
14460,33015
14460,33017
14500,08013
14540,21061
14540,21227
14580,30031
14620,42083
14660,27021
14660,27035
14700,29209
14700,29213
14740,53035
14780,48477
14820,37175
14860,09001
14940,49003
15020,28085
15060,41015
15100,46011
15140,47075
15180,48061
15220,48049
15260,13025
15260,13127
15260,13191
15340,39033
15380,36029
15380,36063
15420,16031
15420,16067
15460,17071
15460,19057
15500,37001
15540,50007
15540,50011
15540,50013
15580,30093
15620,26113
15620,26165
15660,13129
15700,24019
15740,39059
15780,05013
15780,05103
15820,21217
15860,08043
15900,17057
15940,39019
15940,39151
15980,12071
16020,17003
16020,29017
16020,29031
16060,17077
16100,35015
16180,32510
16220,56025
16260,49021
16300,19011
16300,19105
16300,19113
16340,13233
16380,39107
16420,21177
16460,17121
16500,53041
16540,42055
16580,17019
16580,17053
16580,17147
16620,54005
16620,54015
16620,54039
16620,54043
16620,54079
16660,17029
16660,17035
16700,45015
16700,45019
16700,45035
16740,37007
16740,37025
16740,37071
16740,37119
16740,37179
16740,45091
16820,51003
16820,51065
16820,51079
16820,51125
16820,51540
16860,13047
16860,13083
16860,13295
16860,47065
16860,47115
16860,47153
16900,45023
16940,56021
16980,17031
16980,17037
16980,17043
16980,17063
16980,17089
16980,17093
16980,17097
16980,17111
16980,17197
16980,18073
16980,18089
16980,18111
16980,18127
16980,55059
17020,06007
17060,39141
17140,18029
17140,18047
17140,18115
17140,21015
17140,21023
17140,21037
17140,21077
17140,21081
17140,21117
17140,21191
17140,39015
17140,39017
17140,39025
17140,39061
17140,39165
17200,33019
17220,54017
17220,54033
17220,54091
17260,28027
17300,21047
17300,21221
17300,47125
17300,47161
17340,06033
17380,28011
17420,47011
17420,47139
17460,39035
17460,39055
17460,39085
17460,39093
17460,39103
17500,12051
17540,19045
17580,35009
17660,16055
17700,20125
17740,26023
17780,48041
17780,48051
17780,48395
17820,08041
17820,08119
17860,29019
17860,29089
17900,45017
17900,45039
17900,45055
17900,45063
17900,45079
17900,45081
17940,47119
17980,01113
17980,13053
17980,13145
17980,13197
17980,13215
18020,18005
18060,28087
18100,31141
18140,39041
18140,39045
18140,39049
18140,39089
18140,39097
18140,39117
18140,39129
18140,39159
18180,33013
18220,18041
18260,47087
18260,47133
18260,47141
18300,41011
18340,21235
18380,13081
18420,28003
18460,13137
18500,36101
18580,48007
18580,48355
18580,48409
18620,48349
18660,36023
18700,41003
18740,39031
18820,18107
18860,06015
18880,12091
18900,47035
18940,22001
18980,01043
19020,51047
19060,24001
19060,54057
19100,48085
19100,48113
19100,48119
19100,48121
19100,48139
19100,48231
19100,48251
19100,48257
19100,48367
19100,48397
19100,48439
19100,48497
19140,13213
19140,13313
19180,17183
19220,21021
19220,21137
19260,51143
19260,51590
19300,01003
19340,17073
19340,17131
19340,17161
19340,19163
19380,39057
19380,39109
19380,39113
19380,39135
19460,01079
19460,01103
19500,17115
19540,18001
19580,39039
19620,48465
19660,12127
19700,35029
19740,08001
19740,08005
19740,08014
19740,08019
19740,08031
19740,08035
19740,08039
19740,08047
19740,08059
19740,08093
19760,22011
19780,19049
19780,19077
19780,19121
19780,19153
19780,19181
19820,26087
19820,26093
19820,26099
19820,26125
19820,26147
19820,26163
19860,38007
19860,38089
19900,45033
19940,17103
19980,20057
20020,01061
20020,01067
20020,01069
20060,13003
20060,13069
20100,10001
20140,13167
20140,13175
20180,42033
20220,19061
20260,27017
20260,27137
20260,55031
20300,48341
20340,40137
20380,37085
20420,08067
20460,40013
20500,37037
20500,37063
20500,37135
20500,37145
20540,47045
20580,48323
20620,39029
20660,24041
20700,42089
20740,55017
20740,55035
20780,08037
20780,08065
20820,17049
20900,48481
20940,06025
20980,05139
21020,37029
21020,37139
21020,37143
21060,21093
21060,21123
21120,40009
21140,18039
21220,32007
21220,32011
21260,53037
21300,36015
21340,48141
21380,20017
21380,20111
21420,40047
21460,01031
21460,01045
21500,42049
21540,26041
21580,35039
21640,01005
21640,13239
21660,41039
21700,06023
21740,56041
21780,18051
21780,18129
21780,18163
21780,18173
21780,21101
21780,21233
21820,02090
21860,27091
21900,54049
21980,32001
22020,27027
22020,38017
22060,27131
22100,29187
22140,35045
22180,37051
22180,37093
22220,05007
22220,05087
22220,05143
22220,29119
22260,27111
22280,32019
22300,39063
22340,13017
22340,13155
22380,04005
22420,26049
22500,45031
22500,45041
22520,01033
22520,01077
22540,55039
22580,37161
22620,05123
22660,08069
22700,19187
22780,29169
22800,19111
22800,29045
22820,08087
22840,01049
22860,22115
22900,05033
22900,05047
22900,05131
22900,40079
22900,40135
22980,13225
23060,18003
23060,18179
23060,18183
23140,18023
23180,21005
23180,21073
23240,48171
23300,17177
23340,31053
23380,39143
23420,06019
23460,01055
23500,45021
23540,12001
23540,12041
23580,13139
23620,48097
23660,17095
23660,17187
23700,35031
23780,20055
23820,32005
23860,45043
23900,42001
23940,56005
23980,21009
23980,21169
24020,36113
24020,36115
24100,36035
24140,37191
24180,48221
24180,48425
24220,27119
24220,38035
24260,31079
24260,31093
24260,31121
24300,08077
24340,26015
24340,26067
24340,26081
24340,26123
24380,35006
24420,41033
24460,20009
24500,30013
24540,08123
24580,55009
24580,55061
24580,55083
24620,47059
24660,37081
24660,37151
24660,37157
24700,18031
24740,28151
24780,37079
24780,37147
24820,39037
24860,45045
24860,45059
24860,45077
24900,28015
24900,28083
24940,45047
24980,28043
25060,28045
25060,28047
25060,28131
25100,40139
25180,24043
25180,54003
25180,54065
25220,22105
25260,06031
25300,29127
25300,29173
25340,47145
25380,17165
25420,42041
25420,42043
25420,42099
25460,05009
25460,05101
25500,51165
25500,51660
25540,09003
25540,09007
25540,09013
25580,31001
25580,31035
25620,28035
25620,28073
25620,28111
25660,30041
25700,20051
25720,49051
25740,30043
25740,30049
25760,05107
25780,37181
25820,48117
25860,37003
25860,37023
25860,37027
25860,37035
25900,15001
25940,45013
25940,45053
25980,13179
25980,13183
26020,35025
26100,26139
26140,12017
26180,15003
26220,41027
26260,05057
26260,05099
26300,05051
26340,26061
26340,26083
26380,22057
26380,22109
26420,48015
26420,48039
26420,48071
26420,48157
26420,48167
26420,48201
26420,48291
26420,48339
26420,48407
26420,48473
26460,36021
26480,47053
26500,42061
26540,18069
26580,21019
26580,21089
26580,39087
26580,54011
26580,54099
26620,01083
26620,01089
26660,48471
26700,46005
26740,20155
26780,27085
26820,16019
26820,16051
26860,42063
26900,18011
26900,18013
26900,18057
26900,18059
26900,18063
26900,18081
26900,18097
26900,18109
26900,18133
26900,18145
26940,28133
26980,19103
26980,19183
27020,26043
27020,55037
27060,36109
27100,26075
27140,28029
27140,28049
27140,28089
27140,28121
27140,28127
27180,47023
27180,47113
27220,16081
27220,56039
27260,12003
27260,12019
27260,12031
27260,12089
27260,12109
27300,17137
27300,17171
27340,37133
27380,48073
27420,38093
27460,36013
27500,55105
27540,18037
27540,18125
27620,29027
27620,29051
27620,29135
27620,29151
27660,22053
27700,13305
27740,47019
27740,47171
27740,47179
27780,42021
27860,05031
27860,05111
27900,29097
27900,29145
27940,02110
27980,15009
28020,26077
28020,26159
28060,30029
28100,17091
28140,20059
28140,20091
28140,20103
28140,20107
28140,20121
28140,20209
28140,29013
28140,29025
28140,29037
28140,29047
28140,29049
28140,29095
28140,29107
28140,29165
28140,29177
28180,15007
28260,31019
28260,31099
28300,33005
28340,18113
28380,29069
28420,53005
28420,53021
28500,48265
28540,02130
28580,12087
28620,37055
28660,48027
28660,48099
28660,48281
28700,47073
28700,47163
28700,51169
28700,51191
28700,51520
28740,36111
28780,48261
28780,48273
28820,37107
28860,29001
28860,29197
28900,41035
28940,47001
28940,47009
28940,47093
28940,47105
28940,47173
28980,02150
29020,18067
29020,18159
29060,33001
29100,27055
29100,55063
29140,18007
29140,18015
29140,18157
29180,22055
29180,22099
29220,47013
29260,41061
29300,13285
29340,22019
29340,22023
29380,12023
29420,04015
29460,12105
29500,48115
29540,42071
29580,45057
29620,26037
29620,26045
29620,26065
29660,56001
29700,48479
29740,35013
29780,35047
29820,32003
29860,28061
29860,28067
29900,37165
29940,20045
