GEOID,NAME,total_renter_occupied_units,renter_occupied_5_9_units,renter_occupied_10_19_units,renter_occupied_50_plus_units,renter_occupied_20_49_units,renter_occupied_5_plus,pct_renter_occupied_5_9_units,pct_renter_occupied_10_19_units,pct_renter_occupied_20_49_units,pct_renter_occupied_50_plus_units,pct_renter_occupied_20_plus_units,pct_renter_occupied_10_plus_units,pct_renter_occupied_5_plus_units
10180,"Abilene, TX Metro Area",22874,2041,2050,555,1272,5918,0.08922794439101163,0.08962140421439188,0.055608988371076334,0.024263355775115854,0.07987234414619218,0.16949374836058406,0.2587216927515957
10380,"Aguadilla-Isabela, PR Metro Area",38732,2120,1902,390,692,5104,0.05473510275740989,0.049106681813487554,0.01786636373024889,0.010069193431787669,0.027935557162036558,0.07704223897552412,0.131777341732934
10420,"Akron, OH Metro Area",95709,10909,10451,5312,10870,37542,0.11398092133446175,0.1091955824426125,0.11357343614498114,0.05550157247489787,0.169075008619879,0.2782705910624915,0.3922515123969533
10500,"Albany, GA Metro Area",26395,2993,1276,450,369,5088,0.11339268800909263,0.04834248910778557,0.013979920439477173,0.01704868346277704,0.031028603902254214,0.07937109301003978,0.1927637810191324
10540,"Albany, OR Metro Area",17120,1496,1350,1005,883,4734,0.08738317757009346,0.07885514018691589,0.05157710280373832,0.058703271028037386,0.1102803738317757,0.18913551401869158,0.27651869158878506
10580,"Albany-Schenectady-Troy, NY Metro Area",126087,17812,12723,7287,13191,51013,0.1412675374939526,0.10090651692878727,0.10461823978681387,0.057793428347093674,0.16241166813390753,0.26331818506269483,0.4045857225566474
10740,"Albuquerque, NM Metro Area",115919,10723,10845,7273,13583,42424,0.09250424865638937,0.09355670770106712,0.11717664921194973,0.06274208714705959,0.17991873635900932,0.27347544406007646,0.3659796927164658
10780,"Alexandria, LA Metro Area",21063,1640,1078,187,709,3614,0.0778616531358306,0.0511797939514789,0.03366092199591701,0.00887812752219532,0.042539049518112326,0.09371884346959122,0.17158049660542182
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",98242,11792,10473,5569,8702,36536,0.12003012967977036,0.10660410007939577,0.08857718694651982,0.05668654954092954,0.14526373648744936,0.25186783656684514,0.3718979662466155
11020,"Altoona, PA Metro Area",15404,1533,826,684,1744,4787,0.09951960529732537,0.05362243573097897,0.11321734614385874,0.044404050895871204,0.15762139703972994,0.2112438327707089,0.3107634380680343
11100,"Amarillo, TX Metro Area",34886,3864,3269,2240,3273,12646,0.1107607636301095,0.09370521125953105,0.09381987043513157,0.06420913833629537,0.15802900877142692,0.25173422003095797,0.36249498366106747
11180,"Ames, IA Metro Area",17581,2314,3831,3623,1150,10918,0.13161936181104603,0.21790569364655024,0.06541152380410671,0.20607473977589444,0.27148626358000116,0.4893919572265514,0.6210113190375974
11260,"Anchorage, AK Metro Area",48832,6206,3610,4626,2250,16692,0.12708879423328964,0.07392693315858453,0.04607634338138925,0.09473296199213631,0.14080930537352557,0.2147362385321101,0.3418250327653997
11460,"Ann Arbor, MI Metro Area",55088,12516,10043,3994,6806,33359,0.22720011617775196,0.18230830670926518,0.12354777810049375,0.07250217833284926,0.19604995643334303,0.3783582631426082,0.6055583793203602
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",13747,1579,728,341,345,2993,0.11486142431075871,0.05295700880192042,0.025096384665745253,0.024805412089910526,0.04990179675565578,0.1028588055575762,0.21772022986833492
11540,"Appleton, WI Metro Area",25217,5257,3262,2107,1645,12271,0.20847047626601103,0.12935717968037436,0.06523377086885832,0.08355474481500574,0.14878851568386406,0.2781456953642384,0.48661617163024945
11640,"Arecibo, PR Metro Area",20167,1328,1005,546,326,3205,0.06585015123716963,0.04983388704318937,0.01616502206575098,0.027073932662270046,0.04323895472802102,0.09307284177121039,0.15892299300838003
11700,"Asheville, NC Metro Area",61817,6899,4335,3207,3219,17660,0.11160360418655063,0.07012634065063009,0.052073054337803515,0.05187893297960108,0.1039519873174046,0.17407832796803469,0.2856819321545853
12020,"Athens-Clarke County, GA Metro Area",34843,3783,3603,2304,2268,11958,0.10857274057916942,0.10340671009958959,0.06509198404270586,0.06612519013862182,0.13121717418132767,0.23462388428091727,0.3431966248600867
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",761735,95409,120114,68932,86701,371156,0.12525222026032676,0.15768475913539484,0.11382042311302487,0.09049341306359823,0.2043138361766231,0.36199859531201795,0.48725081557234473
12100,"Atlantic City-Hammonton, NJ Metro Area",32538,3918,4587,1738,5000,15243,0.1204130555043334,0.140973630831643,0.15366648226688795,0.05341446923597025,0.20708095150285818,0.3480545823345012,0.4684676378388346
12220,"Auburn-Opelika, AL Metro Area",23552,2440,2935,1611,1232,8218,0.10360054347826086,0.12461786684782608,0.052309782608695655,0.06840183423913043,0.12071161684782608,0.24532948369565216,0.348930027173913
12260,"Augusta-Richmond County, GA-SC Metro Area",71423,7950,4397,2180,2646,17173,0.11130868207720203,0.061562801898548083,0.03704688965739328,0.030522380745698165,0.06756927040309144,0.12913207230163953,0.24044075437884155
12420,"Austin-Round Rock, TX Metro Area",311077,30013,57103,38744,53066,178926,0.09648093558829486,0.18356548378697235,0.17058798946884535,0.12454794150644374,0.29513593097528906,0.4787014147622614,0.5751823503505563
12540,"Bakersfield, CA Metro Area",112518,10086,4372,2945,6066,23469,0.08963899109475817,0.0388560052613804,0.05391137418013118,0.026173590003377236,0.08008496418350841,0.11894096944488881,0.208579960539647
