GEOID,NAME,total_renter_occupied_units,renter_occupied_5_9_units,renter_occupied_10_19_units,renter_occupied_50_plus_units,renter_occupied_20_49_units,pct_renter_occupied_5_9_units,pct_renter_occupied_10_19_units,pct_renter_occupied_20_49_units,pct_renter_occupied_50_plus_units,pct_renter_occupied_20_plus_units,pct_renter_occupied_10_plus_units,pct_renter_occupied_5_plus_units
11460,"Ann Arbor, MI Metro Area",56820,12558,10413,4648,6552,0.22101372756071805,0.18326293558606124,0.11531151003167898,0.08180218233016544,0.19711369236184442,0.38037662794790567,0.6013903555086237
11540,"Appleton, WI Metro Area",25523,5238,3569,2352,1773,0.20522665830819262,0.13983465893507815,0.06946675547545351,0.09215217646828351,0.16161893194373703,0.3014535908788152,0.5066802491870078
12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",778543,90303,121042,67390,116884,0.11598973980884807,0.15547246587535948,0.15013172040593775,0.08655912390195532,0.23669084430789308,0.39216331018325257,0.5081530499921006
12100,"Atlantic City-Hammonton, NJ Metro Area",34894,4318,4058,2396,5502,0.12374620278557918,0.11629506505416404,0.15767753768556197,0.06866510001719493,0.22634263770275692,0.34263770275692096,0.46638390554250014
12420,"Austin-Round Rock-Georgetown, TX Metro Area",353313,33978,62657,43858,69606,0.09616968523660324,0.17734133756753925,0.19700945054385205,0.12413355862931735,0.3211430091731694,0.4984843467407087,0.5946540319773119
12580,"Baltimore-Columbia-Towson, MD Metro Area",359026,48484,66901,16839,56153,0.13504314450764013,0.18634026505044202,0.1564037144942149,0.04690189568443511,0.20330561017865,0.38964587522909205,0.5246890197367322
13380,"Bellingham, WA Metro Area",33787,3266,4047,4475,4104,0.0966643975493533,0.11977979696332909,0.1214668363571788,0.132447391008376,0.2539142273655548,0.3736940243288839,0.4703584218782372
14010,"Bloomington, IL Metro Area",23906,4329,5191,1957,2160,0.18108424663264452,0.2171421400485234,0.09035388605371036,0.0818622939847737,0.17221618003848407,0.38935832008700744,0.570442566719652
14020,"Bloomington, IN Metro Area",27619,4860,4519,2394,2591,0.17596582063072522,0.16361924761939245,0.0938122307107426,0.08667945979217205,0.18049169050291466,0.3441109381223071,0.5200767587530324
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",728666,86659,76127,81273,129744,0.1189282881320111,0.1044744780187356,0.1780568875177379,0.11153669856971507,0.28959358608745295,0.39406806410618855,0.5129963522381996
14500,"Boulder, CO Metro Area",49180,6180,6980,5595,7370,0.12566083773891826,0.14192761285075234,0.14985766571777145,0.11376575843838958,0.263623424156161,0.40555103700691336,0.5312118747458316
16300,"Cedar Rapids, IA Metro Area",27116,3466,5769,2573,1923,0.1278212125682254,0.21275261838029208,0.07091753946009736,0.09488862664109751,0.16580616610119486,0.37855878448148694,0.5063799970497124
16580,"Champaign-Urbana, IL Metro Area",39304,5718,8084,5057,4507,0.14548137594138003,0.20567881131691432,0.1146702625686953,0.12866374923671892,0.2433340118054142,0.44901282312232854,0.5944941990637085
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1264652,205666,120959,107783,229405,0.16262655655468855,0.09564607496765909,0.18139772838693966,0.08522739852544416,0.2666251269123838,0.3622712018800429,0.5248977584347314
17460,"Cleveland-Elyria, OH Metro Area",308269,29830,34761,20923,63323,0.09676613606947179,0.11276190599768385,0.20541475140218446,0.06787253989210722,0.2732872912942917,0.3860491972919755,0.48281533336144733
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",1080963,138409,183385,109501,200860,0.12804231042135578,0.16964965498356557,0.18581579573028864,0.10129948943673373,0.2871152851670224,0.45676494015058794,0.5848072505719437
19740,"Denver-Aurora-Lakewood, CO Metro Area",411550,40961,67607,63217,88834,0.0995286113473454,0.16427408577329608,0.21585226582432268,0.15360709512817397,0.36945936095249665,0.5337334467257927,0.6332620580731382
19780,"Des Moines-West Des Moines, IA Metro Area",84624,8808,11568,18477,11016,0.10408394781622235,0.1366988088485536,0.13017583664208734,0.21834231423709585,0.3485181508791832,0.4852169597277368,0.5893009075439591
20500,"Durham-Chapel Hill, NC Metro Area",94654,12534,16604,6794,9875,0.13241912650284193,0.17541783759798846,0.10432733957360492,0.07177720962664018,0.1761045492002451,0.35152238679823355,0.4839415133010755
22020,"Fargo, ND-MN Metro Area",44948,3276,6304,16526,7794,0.07288422176737563,0.14025095666103052,0.17340037376523984,0.36766930675447185,0.5410696805197117,0.6813206371807422,0.7542048589481178
23540,"Gainesville, FL Metro Area",51825,7232,7393,4570,5703,0.13954655089242643,0.14265315967197298,0.11004341534008683,0.08818137964302943,0.19822479498311626,0.34087795465508924,0.4804245055475157
24340,"Grand Rapids-Kentwood, MI Metro Area",106467,14076,16759,9905,11570,0.1322099805573558,0.15741027736293875,0.10867217071956568,0.09303352212422629,0.20170569284379197,0.35911597020673075,0.4913259507640865
24580,"Green Bay, WI Metro Area",42375,9536,5469,3211,3467,0.22503834808259587,0.12906194690265488,0.08181710914454278,0.07577581120943953,0.1575929203539823,0.2866548672566372,0.5116932153392331
25540,"Hartford-East Hartford-Middletown, CT Metro Area",160194,22817,15700,14897,22910,0.14243354932144775,0.09800616752187973,0.1430140954093162,0.09299349538684346,0.23600759079615966,0.33401375831803937,0.4764473076394871
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",954285,101036,166521,90693,202968,0.10587612715278978,0.17449818450462912,0.21269117716405475,0.09503764598626196,0.30772882315031674,0.48222700765494586,0.5881031348077357
26980,"Iowa City, IA Metro Area",27194,3827,5730,3540,2461,0.14072957269986025,0.21070824446569097,0.0904979039494006,0.13017577406780909,0.2206736780172097,0.43138192248290064,0.5721114951827609
28020,"Kalamazoo-Portage, MI Metro Area",38239,6257,6866,5296,4081,0.1636287559821125,0.17955490467846963,0.10672350218363451,0.13849734564188393,0.24522084782551845,0.4247757525039881,0.5884045084861006
29200,"Lafayette-West Lafayette, IN Metro Area",35787,5646,5387,3669,2500,0.15776678682203035,0.150529521893425,0.06985776958113281,0.10252326263727052,0.17238103221840334,0.32291055411182834,0.48067734093385867
29620,"Lansing-East Lansing, MI Metro Area",71684,9971,14673,6431,6871,0.13909659059204285,0.20469002845823336,0.09585123598013504,0.08971318564812232,0.18556442162825734,0.39025445008649073,0.5293510406785336
29940,"Lawrence, KS Metro Area",24590,3059,3907,2798,1816,0.12440016266775111,0.15888572590483938,0.07385115900772672,0.11378609190727938,0.1876372509150061,0.34652297681984545,0.47092313948759656
30700,"Lincoln, NE Metro Area",53380,6654,9843,7756,6140,0.124653428250281,0.1843949044585987,0.11502435369052079,0.14529786436867742,0.2603222180591982,0.44471712251779694,0.569370550768078
