GEOID,NAME,total_renter_occupied_units,renter_occupied_5_9_units,renter_occupied_10_19_units,renter_occupied_50_plus_units,renter_occupied_20_49_units,renter_occupied_5_plus,pct_renter_occupied_5_9_units,pct_renter_occupied_10_19_units,pct_renter_occupied_20_49_units,pct_renter_occupied_50_plus_units,pct_renter_occupied_20_plus_units,pct_renter_occupied_10_plus_units,pct_renter_occupied_5_plus_units
11460,"Ann Arbor, MI Metro Area",55088,12516,10043,3994,6806,33359,0.22720011617775196,0.18230830670926518,0.12354777810049375,0.07250217833284926,0.19604995643334303,0.3783582631426082,0.6055583793203602
11540,"Appleton, WI Metro Area",25217,5257,3262,2107,1645,12271,0.20847047626601103,0.12935717968037436,0.06523377086885832,0.08355474481500574,0.14878851568386406,0.2781456953642384,0.48661617163024945
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",761735,95409,120114,68932,86701,371156,0.12525222026032676,0.15768475913539484,0.11382042311302487,0.09049341306359823,0.2043138361766231,0.36199859531201795,0.48725081557234473
12100,"Atlantic City-Hammonton, NJ Metro Area",32538,3918,4587,1738,5000,15243,0.1204130555043334,0.140973630831643,0.15366648226688795,0.05341446923597025,0.20708095150285818,0.3480545823345012,0.4684676378388346
12420,"Austin-Round Rock, TX Metro Area",311077,30013,57103,38744,53066,178926,0.09648093558829486,0.18356548378697235,0.17058798946884535,0.12454794150644374,0.29513593097528906,0.4787014147622614,0.5751823503505563
12580,"Baltimore-Columbia-Towson, MD Metro Area",350557,43977,67461,15024,48928,175390,0.12544892841962935,0.19243946062979772,0.13957216658061314,0.0428575096204041,0.18242967620101724,0.37486913683081496,0.5003180652504443
14010,"Bloomington, IL Metro Area",25094,4596,4961,2013,1969,13539,0.18315135092053877,0.19769666055630827,0.078464971706384,0.08021837889535346,0.15868335060173747,0.35638001115804574,0.5395313620785845
14020,"Bloomington, IN Metro Area",26952,4738,4615,2288,2100,13741,0.17579400415553575,0.17123033541110122,0.07791629563668745,0.08489165924606708,0.1628079548827545,0.33403829029385573,0.5098322944493915
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",697398,84233,72214,77348,114267,348062,0.12078182042391862,0.10354775895543147,0.16384761642562784,0.11090940897450237,0.2747570254001302,0.3783047843555617,0.4990866047794803
14500,"Boulder, CO Metro Area",47801,6614,7024,5233,6424,25295,0.13836530616514298,0.14694253258300036,0.1343904939227213,0.10947469718206732,0.2438651911047886,0.39080772368778893,0.5291730298529319
16300,"Cedar Rapids, IA Metro Area",26799,3785,5193,2760,1537,13275,0.14123661330646667,0.19377588715996866,0.057352886301727676,0.10298891749692153,0.1603418037986492,0.35411769095861784,0.49535430426508453
16580,"Champaign-Urbana, IL Metro Area",41174,5844,8071,5818,3729,23462,0.14193423033953464,0.19602176130567833,0.09056686258318357,0.14130276388011853,0.2318696264633021,0.42789138776898045,0.5698256181085151
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1243348,205932,114925,104590,208775,634222,0.16562700064664115,0.09243188552199384,0.16791356884798142,0.08411965113548259,0.252033219983464,0.34446510550545784,0.510092106152099
17140,"Cincinnati, OH-KY-IN Metro Area",286367,39754,50211,15857,23569,129391,0.13882186145750033,0.1753379404749849,0.08230347770518251,0.05537300038063045,0.13767647808581296,0.31301441856079787,0.4518362800182982
17460,"Cleveland-Elyria, OH Metro Area",300376,28542,33959,20322,56756,139579,0.09502090712973074,0.11305497110288439,0.1889498495219325,0.06765520547580366,0.25660505499773617,0.36966002610062054,0.4646809332303513
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",1023865,146665,183275,105436,150835,586211,0.1432464240891133,0.1790030912278474,0.14731922665585795,0.10297842000654384,0.2502976466624018,0.4293007378902492,0.5725471619793625
19740,"Denver-Aurora-Lakewood, CO Metro Area",398634,39472,67724,61897,73102,242195,0.09901814697190907,0.16989017494744552,0.1833812469583628,0.15527275646332225,0.33865400342168506,0.5085441783691306,0.6075623253410396
19780,"Des Moines-West Des Moines, IA Metro Area",75206,7953,10584,15866,8055,42458,0.10574954126000585,0.14073345211818206,0.10710581602531713,0.21096721006302688,0.31807302608834404,0.4588064782065261,0.5645560194665319
20260,"Duluth, MN-WI Metro Area",33819,2735,2941,4455,4929,15060,0.08087169934060735,0.08696294982110647,0.14574647387563205,0.1317306839350661,0.27747715781069815,0.3644401076318046,0.44531180697241196
20500,"Durham-Chapel Hill, NC Metro Area",87675,12074,16361,6705,6540,41680,0.13771314513829483,0.1866096378671229,0.07459366980325065,0.07647562018819504,0.15106928999144567,0.33767892785856857,0.4753920729968634
22020,"Fargo, ND-MN Metro Area",42498,3020,7056,15553,6788,32417,0.07106216763141796,0.1660313426514189,0.15972516353710764,0.36597016330180243,0.5256953268389101,0.6917266694903289,0.7627888371217469
23540,"Gainesville, FL Metro Area",44924,6615,7302,5224,4159,23300,0.14724868667082183,0.16254118066067136,0.09257857715252427,0.11628528180927789,0.20886385896180215,0.3714050396224735,0.5186537262932953
